,15 и ст.
0,2.312348733282051
1,2.7218565770200938
2,3.7655018835691765
3,5.251143615934947
4,7.327205425022301
5,10.224050500006335
6,14.265522386243623
7,19.90322997143201
8,27.76637606698631
9,38.73099914124593
10,54.015684899963176
11,75.31333032409492
12,104.9715293048732
13,146.23755471071485
14,203.5872379478525
15,283.1590103795475
16,393.31215523839626
17,545.3162617860721
18,754.1463707642571
19,1039.2869518179969
20,1425.3089337808656
21,1941.7403650630945
22,2621.3746832343663
23,3495.687264600998
24,4585.686806504833
25,5886.922970850416
26,7349.598150600718
27,8859.831160576307
28,10235.142515853458
29,11250.398411754319
30,11700.071558352904
31,11476.23745906149
32,10618.113054596688
33,9298.091372643785
34,7752.271314459895
35,6200.077075414626
36,4794.067447769652
37,3610.2519566461774
38,2664.693934423319
39,1937.6298200453643
40,1393.6433483930687
41,994.5061189807765
42,705.6867557818039
43,498.7390629558709
44,351.48033510605063
45,247.2055772972457
46,173.6212389129363
47,121.81953149179972
48,85.4139530317772
49,59.858908219152426
50,41.935344281018494
51,29.371596450637853
52,20.56846996131234
53,14.402084777830517
54,10.083539106367912
55,7.059526586918596
56,4.942203723512788
57,3.45981947842904
58,2.422019557508392
59,1.6954923670189266
60,1.1868882293544907
61,0.8308466251029059
62,0.5816072808605949
63,0.40713399351124235
64,0.28499936011308663
65,0.1995031223761762
66,0.1396545256419132
67,0.09775972791494118
68,0.06843286328963946
69,0.047903723198318995
70,0.03353310029029684
71,0.023473511544543153
72,0.01643169481862781
73,0.011502351011178037
74,0.00805176042672955
75,0.005636312343654483
76,0.003945474545688376
77,0.0027618712538339495
78,0.0019333371978424295
79,0.0013533551479134784
80,0.0009473619729955601
81,0.000663162736256746
82,0.00046422046232411367
83,0.00032495890569021757
84,0.00022747444105014283
85,0.00015923435350657776
86,0.00011146561871532533
87,7.80270329490174e-05
88,5.4619692944604075e-05
89,3.823432397308515e-05
90,2.676440401893051e-05
91,1.8735346880546435e-05
92,1.3114927664689789e-05
93,9.18057876023342e-06
94,6.4264957095681565e-06
95,4.4986104016094296e-06
96,3.149071665109384e-06
97,2.204381234762732e-06
98,1.5430886130513145e-06
99,1.0801772534431488e-06
100,7.561347345708e-07
101,5.293017743148338e-07
102,3.705164641735566e-07
103,2.5936518047968377e-07
104,1.815581852623114e-07
105,1.2709252095730567e-07
106,8.896601857930366e-08
107,6.227709075428486e-08
108,4.3594577960784464e-08
109,3.051663468155313e-08
110,2.1361945357629773e-08
111,1.4953572509689313e-08
112,1.0467648290404933e-08
113,7.327457078274288e-09
114,5.1292922483042935e-09
115,3.590555179984759e-09
116,2.513424050808794e-09
117,1.7594216332892599e-09
118,1.2316125019532996e-09
119,8.621409025941383e-10
120,6.035071377945593e-10
121,4.224609507251747e-10
122,2.9572683355465525e-10
123,2.0701170116230383e-10
124,1.4491023321423023e-10
125,1.0143859295054386e-10
126,7.100801586989415e-11
127,4.970631168195937e-11
128,3.479490858540692e-11
129,2.435677930024801e-11
130,1.7049985816884773e-11
131,1.1935158288888048e-11
132,8.354728555829376e-12
133,5.8483924177677536e-12
134,4.093932393331712e-12
135,2.8657930665274796e-12
136,2.006083420804437e-12
137,1.4042781868067042e-12
138,9.83008585530484e-13
139,6.881157083440852e-13
140,4.816877848674683e-13
141,3.371862017928352e-13
142,2.3603366797179733e-13
143,1.6522589631484883e-13
144,1.1565975755758322e-13
145,8.096297140242369e-14
146,5.6674878771435705e-14
147,3.9672974300703336e-14
148,2.7771473428497923e-14
149,1.9440305396414232e-14
150,1.3608405577719218e-14
151,9.526018166456257e-15
152,6.6683067012809865e-15
153,4.6678804811570794e-15
154,3.2675623906413224e-15
155,2.2873259115852542e-15
156,1.6011507051231732e-15
157,1.1208212907183165e-15
158,7.845859616511447e-16
159,5.492179139687283e-16
160,3.844579584235304e-16
161,2.691243640017267e-16
162,1.883897100123107e-16
163,1.318746556825855e-16
164,9.231356006792533e-17
165,6.462040282346527e-17
166,4.5234919528553783e-17
167,3.166488996276748e-17
168,2.216573538328629e-17
169,1.5516233457927005e-17
170,1.0861516505445146e-17
171,7.603168714749321e-18
172,5.322293114038192e-18
173,3.725657690166394e-18
174,2.6079971408723105e-18
175,1.825623729402358e-18
176,1.2779546223897317e-18
177,8.945808441161756e-19
178,6.262154169160736e-19
179,4.383569701526557e-19
180,3.068542039857978e-19
181,2.148009702479853e-19
182,1.5036279842400773e-19
183,1.0525544239300683e-19
184,7.367984813708209e-20
185,5.157662062958717e-20
186,3.610414330142382e-20
187,2.527325651851612e-20
188,1.7691528911739276e-20
189,1.2384244784822191e-20
190,8.669093533720917e-21
191,6.068451003851895e-21
192,4.247975574713256e-21
193,2.973624813301833e-21
194,2.0815667074265692e-21
195,1.4571172321687519e-21
196,1.019996438599854e-21
197,7.140075704189431e-22
198,4.9981234377187845e-22
199,3.4987357184484935e-22
200,2.449149521832205e-22
201,1.7144288288658928e-22
202,1.2001170949528698e-22
203,8.400938069566133e-23
204,5.880739533291718e-23
205,4.1165756933387495e-23
206,2.881643599933739e-23
207,2.017178950571956e-23
208,1.4120451671137055e-23
209,9.88445548375282e-24
210,6.919216359771279e-24
211,4.843519717603063e-24
212,3.390511589029879e-24
213,2.3733915634877985e-24
214,1.66139751058831e-24
215,1.1629946489456393e-24
216,8.141077284973437e-25
217,5.698834420261242e-25
218,3.9892403195212076e-25
219,2.7925075819564073e-25
220,1.9547828585618922e-25
221,1.3683672870998323e-25
222,9.578706014347173e-26
223,6.705188714628832e-26
224,4.693698254382645e-26
225,3.2856350866202585e-26
226,2.2999769770777513e-26
227,1.6100065757847493e-26
228,1.1270204875544312e-26
229,7.889254605983949e-27
230,5.522556060457859e-27
231,3.865843728476808e-27
232,2.7061287507807477e-27
233,1.894316824515713e-27
234,1.3260404667028462e-27
235,9.282414095556785e-28
236,6.497781448226324e-28
237,4.5485111215975795e-28
238,3.1840026612382087e-28
239,2.22883327659343e-28
240,1.5602052835340119e-28
241,1.0921590916337907e-28
242,7.645221395075118e-29
243,5.351730405162699e-29
244,3.74626408438516e-29
245,2.6224218201304384e-29
246,1.8357211471985476e-29
247,1.2850229144693187e-29
248,8.995287183084475e-30
249,6.2967897766694445e-30
250,4.407814968501433e-30
251,3.0855139659469097e-30
252,2.1598902181890284e-30
253,1.5119444624509982e-30
254,1.058376040729018e-30
255,7.408736705668089e-31
256,5.18618878939336e-31
257,1.1724459279836776e-31
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
